"key","message","comment","context"
"Permissions","Les Permissions",,"resources\domains\DMS.xml:21
resources\domains\Group.xml:22
resources\domains\Role.xml:15
resources\domains\User.xml:33
resources\views\DMS.xml:85
resources\views\Group.xml:50
resources\views\Menu.xml:41
resources\views\Menu.xml:44
resources\views\MetaPermission.xml:11
resources\views\MetaPermission.xml:6
resources\views\Permission.xml:11
resources\views\Permission.xml:6"
"Permissions (fields)","Permissions (champs)",,"resources\domains\Group.xml:23
resources\domains\Role.xml:16
resources\domains\User.xml:34"
"Personal","Personnel",,"resources\domains\Mail.xml:13"
"Personalized View","Vue personnalisée",,"resources\views\Meta.xml:180"
"Personalized Views","Vues personnalisées",,"resources\views\Meta.xml:170"
"Photo","Photo",,"resources\domains\Team.xml:11
resources\domains\User.xml:19"
"Pink","Rose",,"resources\views\Meta.xml:53"
"Placeholder","Marque substitutive",,"resources\views\Meta.xml:47"
"Please change your password.","Veuillez changer votre mot de passe.",,"java\com\axelor\auth\pac4j\AuthPac4jModuleLocal.java:56"
"Please log back in.","Veuillez vous reconnecter.",,"java\com\axelor\auth\AuthObserver.java:70"
"Please refresh your browser to see updated views.","Merci de rafraîchir votre navigateur afin d'afficher les mises à jour.",,"java\com\axelor\meta\web\MetaController.java:261"
"Precision","Précision",,"resources\domains\MetaJson.xml:41"
"Preferences","Préférences",,"resources\views\User.xml:62"
"Prefix","Prefix",,"resources\domains\MetaSequence.xml:13"
"Priority","Priorité",,"resources\domains\Meta.xml:129
resources\domains\Meta.xml:150
resources\domains\Meta.xml:177
resources\domains\Meta.xml:33
resources\domains\Meta.xml:89
resources\domains\Team.xml:22"
"Purple","Violet",,"resources\views\Meta.xml:54"
"Read","Lecture",,"resources\domains\MetaPermission.xml:19
resources\domains\Permission.xml:15"
"Readonly","Lecture seule",,"resources\domains\MetaJson.xml:35"
"Readonly if","Lecture seule si",,"resources\domains\MetaJson.xml:24
resources\domains\MetaPermission.xml:22"
"Recipients","Destinataires",,"resources\domains\Mail.xml:30"
"Record created","Enregistrement créé",,"java\com\axelor\auth\AuditTracker.java:331"
"Record updated","Enregistrement modifié",,"java\com\axelor\auth\AuditTracker.java:331"
"Record was updated or deleted by another transaction","L'enregistrement a été mis à jour ou supprimé par une autre transaction",,"java\com\axelor\rpc\ResponseInterceptor.java:165"
"Red","Rouge",,"resources\views\Meta.xml:52"
"Reference error","Erreur de référence",,"java\com\axelor\rpc\ResponseInterceptor.java:245"
"Regex","Regex",,"resources\domains\MetaJson.xml:46"
"Related","Lié à",,"resources\domains\DMS.xml:14
resources\domains\Mail.xml:66
resources\domains\Team.xml:29"
"Related document id","Id du document lié",,"resources\domains\Mail.xml:38"
"Related document model","Model du document lié",,"resources\domains\Mail.xml:39"
"Related document name","Nom du document lié",,"resources\domains\Mail.xml:40"
"Related model","Modèle lié",,"resources\domains\Mail.xml:67
resources\domains\Team.xml:27"
"Related name","Nom lié",,"resources\domains\Team.xml:28"
"Related object","Objet lié",,"resources\domains\DMS.xml:15"
"Relationship","Relation",,"resources\domains\Meta.xml:223"
"Removable","Supprimable ?",,"resources\domains\Meta.xml:20"
"Remove","Supprimer",,"resources\domains\Permission.xml:18"
"Replies","Réponses",,"resources\domains\Mail.xml:44"
"Required","Requis",,"resources\domains\MetaJson.xml:34"
"Required if","Requis si",,"resources\domains\MetaJson.xml:23"
"Restart jobs","Redémarrer",,"resources\views\Schedules.xml:8"
"Restart the server for updates to take effect.","Redémarrez le serveur pour que les mises à jour prennent effet.",,"java\com\axelor\meta\web\ModuleController.java:40"
"Restore all…","Tout restaurer…",,"resources\views\Meta.xml:119"
"Role","Role",,"resources\views\Role.xml:10"
"Roles","Les Roles",,"resources\domains\Group.xml:21
resources\domains\Meta.xml:113
resources\domains\Meta.xml:257
resources\domains\MetaJson.xml:61
resources\domains\MetaJson.xml:84
resources\domains\User.xml:32
resources\views\Menu.xml:32
resources\views\Menu.xml:35
resources\views\Role.xml:6"
"Root","Racine",,"resources\domains\Mail.xml:42"
"Rule","Règle",,"resources\views\MetaPermission.xml:25"
"Rules","Règles",,"resources\domains\MetaPermission.xml:13"
"SQL error","Erreur SQL",,"java\com\axelor\rpc\ResponseInterceptor.java:255"
"Scale","Échelle",,"resources\domains\MetaJson.xml:42"
"Schedule","Planificateur",,"resources\domains\MetaSchedule.xml:12
resources\views\Schedules.xml:17"
"Schedules","Planificateurs",,"resources\views\Schedules.xml:6"
"Schema","Définition",,"resources\views\Meta.xml:165
resources\views\Meta.xml:188
resources\views\Meta.xml:211"
"Search","Recherche",,"resources\views\Meta.xml:17"
"Select","Sélectionner",,"resources\domains\Meta.xml:198"
"Select Item","Élément de la sélection",,"resources\views\Meta.xml:336"
"Selection","Sélection",,"resources\domains\MetaJson.xml:18"
"Selects","Les Sélections",,"resources\views\Menu.xml:106"
"Separator","Séparateurs",,"resources\views\MetaJson.xml:19"
"Sequence","Séquence",,"resources\domains\MetaJson.xml:43
resources\domains\Team.xml:23"
"Sequence order","Ordre d'affichage",,"resources\views\Meta.xml:344"
"Server expression to check whether to use this field.","Expression serveur pour utiliser ce champ ou non",,"resources\views\MetaJson.xml:92"
"Shared","Partagé ?",,"resources\domains\Meta.xml:77
resources\domains\MetaFilter.xml:20"
"Shared with me","Partagés avec moi",,"resources\views\DMS.xml:157"
"Show Model","Voir le modèle",,"resources\views\Meta.xml:400"
"Show if","Afficher si",,"resources\domains\MetaJson.xml:21"
"Show in top menu","Afficher dans le menu du haut",,"resources\views\MetaJson.xml:168"
"Show permissions","Voir les permissions",,"resources\views\Group.xml:20"
"Single tab","Onglet unique",,"resources\domains\User.xml:24"
"Size","Taille",,"resources\domains\Meta.xml:269
resources\views\DMS.xml:13"
"Size in bytes","Taille en bytes",,"resources\domains\Meta.xml:266"
"Spacer","Espace",,"resources\views\MetaJson.xml:18"
"Specify whether the members of this group are technical staff.","Indiquez si les membres de ce groupe sont des utilisateurs technique.",,"resources\domains\Group.xml:18"
"Specify whether this action can be used as home action.","Indique si cette action peut être utilisé comme action par défaut.",,"resources\domains\Meta.xml:154"
"Status","Statut",,"resources\domains\Team.xml:21"
"Stop service","Arrêter le service",,"resources\views\Schedules.xml:9"
"String","Chaîne de caractère",,"resources\views\MetaJson.xml:7"
"Style","Style",,"resources\domains\DMS.xml:34
resources\domains\Meta.xml:243"
"Subject","Sujet",,"resources\domains\Mail.xml:32"
"Subscribe","S'abonner",,"resources\views\Team.xml:41"
"Success","Réussi",,"resources\views\DMS.xml:127
resources\views\Meta.xml:39"
"Suffix","Suffixe",,"resources\domains\MetaSequence.xml:14"
"Summary","Sommaire",,"resources\domains\Mail.xml:34"
"System notification","Système de notification",,"resources\views\Mail.xml:10"
"Table","Table",,"resources\domains\Meta.xml:208"
"Tag","Tag",,"resources\views\DMS.xml:140
resources\views\DMS.xml:156
resources\views\Meta.xml:277"
"Tag count","Compteur",,"resources\domains\Meta.xml:99"
"Tag label","Libellé du tag",,"resources\domains\Meta.xml:97"
"Tag method","Méthode de calcul",,"resources\domains\Meta.xml:98"
"Tag style","Style de tag",,"resources\domains\Meta.xml:100"
"Tags","Tags",,"resources\domains\DMS.xml:24
resources\views\DMS.xml:118
resources\views\DMS.xml:134
resources\views\DMS.xml:186
resources\views\DMS.xml:213
resources\views\DMS.xml:38"
"Target custom model","Modèle personnalisé cible",,"resources\views\MetaJson.xml:60"
"Target json model","Modèle Json cible",,"resources\domains\MetaJson.xml:54"
"Target model","Modèle cible",,"resources\domains\MetaJson.xml:49"
"Task","Tâche",,"resources\views\Team.xml:84"
"Task closed","Tâche fermée",,"resources\domains\Team.xml:42"
"Task created","Tâche créée",,"resources\domains\Team.xml:41"
"Task date","Date de tâche",,"resources\domains\Team.xml:24"
"Task deadline","Date limite de tâche",,"resources\domains\Team.xml:26"
"Task duration","Durée de tâche",,"resources\domains\Team.xml:25"
"Tasks","Tâches à réaliser",,"resources\views\Team.xml:202
resources\views\Team.xml:69
resources\views\Team.xml:80"
"Tasks assigned to me","Mes tâches assignées",,"resources\views\Team.xml:181
resources\views\Team.xml:208"
"Tasks created by me","Mes tâches soumises",,"resources\views\Team.xml:188
resources\views\Team.xml:209"
"Tasks due","Tâches échues",,"resources\views\Team.xml:151
resources\views\Team.xml:205"
"Tasks todo","Tâches à réaliser",,"resources\views\Team.xml:162
resources\views\Team.xml:206"
"Teal","Bleu canard",,"resources\views\Meta.xml:60"
"Team","Équipe",,"resources\domains\Team.xml:18
resources\domains\Team.xml:52
resources\views\Team.xml:21
resources\views\Team.xml:51"
"Teams","Équipes",,"resources\views\Team.xml:203
resources\views\Team.xml:24
resources\views\Team.xml:28"
"Teamwork","Travail d’équipe",,"resources\views\Team.xml:201"
"Technical staff","Données techniques",,"resources\domains\Group.xml:18"
"The addition data for UI widgets","Données additionnelles utilisées par l'interface",,"resources\domains\Meta.xml:195"
"The color to use for tags","La couleur à utiliser pour les tags",,"resources\domains\Meta.xml:194"
"The image icon to show in UI widgets","Icône utilisée par l'interface",,"resources\domains\Meta.xml:193"
"The module can't be uninstalled because other modules are pending. Please restart the server before.","Le module ne peut pas être désinstallé car d'autres modules sont en attente. Redémarrer le serveur avant.",,"java\com\axelor\meta\web\ModuleController.java:49"
"The module can't be uninstalled because other non-removable modules depend on it.","Le module ne peut pas être désinstallé car d'autres modules non supprimable en dépendent.",,"java\com\axelor\meta\web\ModuleController.java:46"
"The record(s) are referenced by other records, please remove all the references first.","Cet enregistrement est déjà utilisé dans d'autres enregistrements, veuillez d’abord supprimer ces références.",,"java\com\axelor\rpc\ResponseInterceptor.java:248"
"The record(s) can't be updated as it violates unique constraint.","L'enregistrement ne peut pas être mis à jour car il enfreint la contrainte d'unicité.",,"java\com\axelor\rpc\ResponseInterceptor.java:252"
"The scheduler service has been stopped.","Le service de planificateur est arrêté.",,"java\com\axelor\meta\web\JobController.java:77
java\com\axelor\quartz\JobRunner.java:175"
"The scheduler service is disabled.","Le service de planificateur est désactivé.",,"java\com\axelor\quartz\JobRunner.java:171
java\com\axelor\quartz\JobRunner.java:197"
"The select item title","Titre de la sélection",,"resources\domains\Meta.xml:191"
"The select item value","Valeur de la sélection",,"resources\domains\Meta.xml:192"
"Theme","Thème",,"resources\domains\User.xml:23"
"This may terminate any running jobs. Are you sure you want to continue?","Cela va arrêter les instances en cours. Voulez-vous continuer ?",,"resources\views\Schedules.xml:8
resources\views\Schedules.xml:9"
"This will update job with current settings. Are you sure you want to continue?","Cela va mettre à jour l’instance avec les paramètres actuels. Voulez-vous continuer ?",,"resources\views\Schedules.xml:29"
"Time","Heure",,"resources\views\MetaJson.xml:13"
"Title","Titre",,"resources\domains\Meta.xml:133
resources\domains\Meta.xml:14
resources\domains\Meta.xml:191
resources\domains\Meta.xml:31
resources\domains\Meta.xml:72
resources\domains\Meta.xml:93
resources\domains\MetaFilter.xml:15
resources\domains\MetaJson.xml:10
resources\domains\MetaJson.xml:66
resources\views\MetaJson.xml:163"
"Tooltip","Info-bulle",,"resources\views\Meta.xml:46"
"Top menu","Menu du haut",,"resources\domains\Meta.xml:101"
"Topic","Sujet",,"resources\views\Team.xml:116"
"Topic closed","Sujet fermé",,"resources\domains\Team.xml:57"
"Topic created","Sujet créé",,"resources\domains\Team.xml:56"
"Topic re-opened","Sujet rouvert",,"resources\domains\Team.xml:58"
"Topics","Sujets",,"resources\domains\Team.xml:14
resources\views\Team.xml:111
resources\views\Team.xml:196"
"Translation","Traduction",,"resources\views\Meta.xml:420
resources\views\Meta.xml:421"
"Tree","Arbre",,"resources\views\Meta.xml:9"
"Type","Type",,"resources\domains\Mail.xml:21
resources\domains\Meta.xml:153
resources\domains\Meta.xml:221
resources\domains\Meta.xml:244
resources\domains\Meta.xml:32
resources\domains\Meta.xml:73
resources\domains\MetaJson.xml:12
resources\views\DMS.xml:28"
"Unexpected database error occurred on the server.","Une erreur de base de données est survenue sur le serveur.",,"java\com\axelor\rpc\ResponseInterceptor.java:256"
"Uninstall","Désinstaller",,"resources\views\Meta.xml:99"
"Unique constraint violation","Violation de contrainte unique",,"java\com\axelor\rpc\ResponseInterceptor.java:251"
"Unique message identifier","Identifiant unique de message",,"resources\domains\Mail.xml:36"
"Unread","Non lus",,"resources\views\Mail.xml:54"
"Unsubscribe","Se désabonner",,"resources\views\Team.xml:42"
"Update","Mettre à jour",,"resources\views\Schedules.xml:29"
"Updated by","Mis à jour par",,"java\com\axelor\auth\db\AuditableModel.java:51"
"Updated on","Mis à jour le",,"java\com\axelor\auth\db\AuditableModel.java:42"
"Urgent","Urgent",,"resources\domains\Team.xml:43
resources\views\Team.xml:17"
"Used as home action","Utilisable comme action d'accueil",,"resources\domains\Meta.xml:154"
"User","Utilisateurs",,"resources\domains\DMS.xml:41
resources\domains\Mail.xml:55
resources\domains\Mail.xml:70
resources\domains\Meta.xml:110
resources\domains\Meta.xml:76
resources\domains\MetaFilter.xml:21
resources\views\User.xml:19"
"User Management","Gestion des utilisateurs",,"resources\views\Menu.xml:7"
"User preferences","Préférences",,"resources\views\User.xml:63"
"Users","Les Utilisateurs",,"resources\views\Menu.xml:15
resources\views\Menu.xml:17
resources\views\User.xml:11"
"Valid cron. Next execution dates are:","Cron valide. Les prochaines dates d’exécution sont :",,"java\com\axelor\meta\web\JobController.java:46"
"Validate","Valider",,"resources\views\Schedules.xml:28"
"Validation error","Erreur de validation",,"java\com\axelor\rpc\ResponseInterceptor.java:197"
"Value","Valeur",,"resources\domains\DMS.xml:38
resources\domains\Meta.xml:192
resources\domains\Meta.xml:254
resources\domains\MetaSchedule.xml:11
resources\views\MetaJson.xml:84"
"Value Expression","Expression de valeur",,"resources\domains\MetaJson.xml:47
resources\views\MetaJson.xml:94"
"Version","Version",,"resources\domains\Meta.xml:16"
"View","Vue",,"resources\domains\Meta.xml:241
resources\domains\Meta.xml:251
resources\views\Meta.xml:146"
"View Attribute","Attribut de vue",,"resources\views\Meta.xml:488"
"View Attributes","Attributs de vue",,"resources\views\Menu.xml:150
resources\views\Menu.xml:152
resources\views\Meta.xml:478"
"View Help","Aide des vues",,"resources\views\Menu.xml:131
resources\views\Menu.xml:136
resources\views\Meta.xml:436"
"View Management","Gestion des vues",,"resources\views\Menu.xml:9"
"View customization","Personnalisation des vues",,"resources\domains\Group.xml:19"
"View customization permission","Permission de personnalisation des vues",,"resources\domains\Group.xml:29"
"Views","Les Vues",,"resources\domains\Group.xml:26
resources\views\Menu.xml:71
resources\views\Meta.xml:110"
"Visibility","Visibilité",,"resources\views\Meta.xml:267"
"Visible","Visible",,"resources\views\Group.xml:7"
"Visible in grid","Visible dans la liste",,"resources\domains\MetaJson.xml:37"
"Warning","Attention",,"resources\views\DMS.xml:128
resources\views\Meta.xml:40"
"Whether to grant create access.","Autorise un accès en creation",,"resources\domains\Permission.xml:17"
"Whether to grant export access.","Autorise l'export",,"resources\domains\Permission.xml:19"
"Whether to grant read access.","Autorise un accès en lecture",,"resources\domains\Permission.xml:15"
"Whether to grant remove access.","Autorise un accès en suppression",,"resources\domains\Permission.xml:18"
"Whether to grant write access.","Autorise un accès en modification",,"resources\domains\Permission.xml:16"
"Whether to show help messages.","Afficher les messages d'aide",,"resources\domains\User.xml:25"
"Whether to use tabbed ui.","Navigation sans onglets",,"resources\domains\User.xml:24"
"White","Blanc",,"resources\views\Meta.xml:72"
"Widget","Widget",,"resources\domains\MetaJson.xml:19"
"Widget Attributes","Attributs de widget",,"resources\views\MetaJson.xml:109"
"Widget attrs","Attrs widget",,"resources\domains\MetaJson.xml:59"
"Write","Modification",,"resources\domains\MetaPermission.xml:20
resources\domains\Permission.xml:16"
"Wrong current password","Mauvais mot de passe actuel",,"java\com\axelor\auth\AuthRealm.java:46
java\com\axelor\auth\pac4j\AuthPac4jModuleLocal.java:55"
"Wrong username or password","Mauvais identifiant ou mot de passe",,"java\com\axelor\auth\AuthRealm.java:45
java\com\axelor\auth\pac4j\AuthPac4jModuleLocal.java:54"
"Xml","Xml",,"resources\domains\Meta.xml:131
resources\domains\Meta.xml:151
resources\domains\Meta.xml:157
resources\domains\Meta.xml:175
resources\domains\Meta.xml:36
resources\domains\Meta.xml:38
resources\domains\Meta.xml:75
resources\domains\Meta.xml:91"
"Yellow","Jaune",,"resources\views\Meta.xml:64"
"You are not allowed to customize views.","Vous n’êtes pas autorisé(e) à personnaliser des vues.",,"java\com\axelor\meta\service\MetaService.java:546
java\com\axelor\meta\service\MetaService.java:607"
"You are not allowed to execute this action.","Vous n’êtes pas autorisé(e) à exécuter cette action.",,"java\com\axelor\meta\schema\actions\ActionReport.java:111"
"You are not allowed to remove this filter","Vous n’êtes pas autorisé(e) à supprimer ce filtre.",,"java\com\axelor\meta\service\MetaFilterService.java:71"
"You are not allowed to share custom views.","Vous n’êtes pas autorisé(e) à partager des vues personnalisées.",,"java\com\axelor\meta\service\MetaService.java:554"
"You are not authorized to create this resource.","Vous n’êtes pas autorisé(e) à créer cette ressource.",,"java\com\axelor\db\JpaSecurity.java:29"
"You are not authorized to export the data.","Vous n’êtes pas autorisé(e) à exporter cette ressource.",,"java\com\axelor\db\JpaSecurity.java:31"
"You are not authorized to read this resource.","Vous n’êtes pas autorisé(e) à lire cette ressource.",,"java\com\axelor\db\JpaSecurity.java:27"
"You are not authorized to remove this resource.","Vous n’êtes pas autorisé(e) à supprimer cette ressource.",,"java\com\axelor\db\JpaSecurity.java:30"
"You are not authorized to update this resource.","Vous n’êtes pas autorisé(e) à modifier cette ressource.",,"java\com\axelor\db\JpaSecurity.java:28"
"You can't create document here.","Vous ne pouvez pas créer un document ici.",,"java\com\axelor\dms\db\repo\DMSFileRepository.java:433"
"You can't move document here.","Vous ne pouvez pas déplacer le document ici.",,"java\com\axelor\dms\db\repo\DMSFileRepository.java:436"
"Your current password","Votre mot de passe actuel",,"resources\views\User.xml:41"
"action-attrs","action-attrs",,"resources\views\Meta.xml:22"
"action-condition","action-condition",,"resources\views\Meta.xml:27"
"action-export","action-export",,"resources\views\Meta.xml:31"
"action-group","action-group",,"resources\views\Meta.xml:25"
"action-import","action-import",,"resources\views\Meta.xml:30"
"action-method","action-method",,"resources\views\Meta.xml:29"
"action-record","action-record",,"resources\views\Meta.xml:28"
"action-report","action-report",,"resources\views\Meta.xml:32"
"action-script","action-script",,"resources\views\Meta.xml:24"
"action-validate","action-validate",,"resources\views\Meta.xml:26"
"action-view","action-view",,"resources\views\Meta.xml:23"
"action-ws","action-ws",,"resources\views\Meta.xml:33"
"added comment","commentaire ajouté",,"java\com\axelor\mail\db\repo\MailMessageRepository.java:337"
"confirm new password","confirmer le nouveau mot de passe",,"resources\views\User.xml:45
resources\views\User.xml:75"
"confirm password","confirmer le mot de passe",,"resources\views\User.xml:50"
"current password","mot de passe actuel",,"resources\views\User.xml:72"
"form::Select","Sélection",,"resources\views\Meta.xml:319"
"important","important",,"resources\domains\Team.xml:43"
"login name","login",,"resources\views\User.xml:22"
"new password","nouveau mot de passe",,"resources\views\User.xml:44
resources\views\User.xml:74"
"password","mot de passe",,"resources\views\User.xml:49"
"success","succès",,"resources\domains\Team.xml:42"
"updated document","a modifié le document",,"java\com\axelor\mail\db\repo\MailMessageRepository.java:334"
"user group","groupe",,"resources\views\User.xml:23"
"user name","nom",,"resources\views\User.xml:21"
"user.password.pattern.title","Veuillez utiliser au moins 4 caractères.",,"java\com\axelor\app\AvailableAppSettings.java:113
resources\views\User.xml:52
resources\views\User.xml:76"
"your current password","votre mot de passe actuel",,"resources\views\User.xml:41"
"{0} customized view is deleted.","{0} vue personnalisée est supprimée",,"java\com\axelor\meta\web\MetaController.java:211"
"{0} customized views are deleted.","{0} vues personnalisées sont supprimées",,"java\com\axelor\meta\web\MetaController.java:211"
