"key","message","comment","context"
"Conditions","Conditions",,"resources\views\MetaJson.xml:72
resources\views\MetaPermission.xml:32"
"Configuration","Configuration",,"resources\views\DMS.xml:211"
"Confirm new password","Confirmer le nouveau mot de passe",,"resources\views\User.xml:45
resources\views\User.xml:75"
"Confirm new password of the user (must be identical to the new password)","Confirmer le nouveau mot de passe de l’utilisateur (doit être identique au nouveau mot de passe)",,"resources\views\User.xml:45
resources\views\User.xml:75"
"Confirm password","Confirmer le mot de passe",,"resources\views\User.xml:50"
"Confirm password of the new user (must be identical to the password)","Confirmer le mot de passe du nouvel utilisateur (doit être identique au mot de passe)",,"resources\views\User.xml:50"
"Content","Contenu",,"resources\domains\DMS.xml:27
resources\views\DMS.xml:180"
"Content type","Type de contenu",,"resources\domains\DMS.xml:28"
"Context field","Champ de contexte",,"resources\domains\MetaJson.xml:27"
"Context field target","Cible de champ de contexte",,"resources\domains\MetaJson.xml:28"
"Context field target name","Nom de cible de champ de contexte",,"resources\domains\MetaJson.xml:29"
"Context field title","Titre de champ de contexte",,"resources\domains\MetaJson.xml:31"
"Context field value","Valeur de champ de contexte",,"resources\domains\MetaJson.xml:30"
"Create","Création",,"resources\domains\Permission.xml:17"
"Created","Créé",,"resources\views\DMS.xml:35"
"Created by","Créé par",,"java\com\axelor\auth\db\AuditableModel.java:45"
"Created on","Créé le",,"java\com\axelor\auth\db\AuditableModel.java:39"
"Cron","Cron",,"resources\domains\MetaSchedule.xml:23"
"Current password","Mot de passe actuel",,"resources\views\User.xml:72"
"Current password of the logged in user","Mot de passe actuel de l’utilisateur connecté",,"resources\views\User.xml:41"
"Current password of the user","Mot de passe actuel de l’utilisateur",,"resources\views\User.xml:72"
"Custom","Personnalisé",,"resources\views\Meta.xml:16"
"Custom Fields","Champs personnalisés",,"resources\views\MetaJson.xml:198
resources\views\MetaJson.xml:218"
"Custom Models","Modèles personnalisés",,"resources\views\MetaJson.xml:195
resources\views\MetaJson.xml:211"
"Custom field","Champ personnalisé",,"resources\views\MetaJson.xml:113
resources\views\MetaJson.xml:134
resources\views\MetaJson.xml:35"
"Custom fields","Champs personnalisés",,"resources\views\MetaJson.xml:28"
"Custom model","Modèle personnalisé",,"resources\views\MetaJson.xml:152"
"Custom models","Modèles personnalisés",,"resources\views\MetaJson.xml:147"
"Custom-ManyToMany","Custom-ManyToMany",,"resources\views\MetaJson.xml:24"
"Custom-ManyToOne","Custom-ManyToOne",,"resources\views\MetaJson.xml:23"
"Custom-OneToMany","Custom-OneToMany",,"resources\views\MetaJson.xml:25"
"Cyan","Cyan",,"resources\views\Meta.xml:59"
"Dashboard","Dashboard",,"resources\views\Meta.xml:11"
"Data","Données",,"resources\domains\Meta.xml:195"
"Date","Date",,"resources\views\MetaJson.xml:12"
"DateTime","DateTime",,"resources\views\MetaJson.xml:11"
"Decimal","Décimal",,"resources\views\MetaJson.xml:9"
"Deep Orange","Orange foncé",,"resources\views\Meta.xml:67"
"Deep Purple","Violet foncé",,"resources\views\Meta.xml:55"
"Default","Défaut",,"resources\views\DMS.xml:126
resources\views\Meta.xml:37"
"Default home action.","Action par défaut.",,"resources\domains\Group.xml:16"
"Default value","Valeur par défaut",,"resources\domains\MetaJson.xml:13"
"Dependent features","Fonctionnalités dépendantes",,"resources\domains\Meta.xml:44"
"Dependent modules","Modules dépendants",,"resources\domains\Meta.xml:43"
"Depends","Dépend de",,"resources\domains\Meta.xml:18"
"Depends On","Dépend de",,"resources\views\Meta.xml:102"
"Description","Description",,"resources\domains\Meta.xml:15
resources\domains\Meta.xml:225
resources\domains\Meta.xml:268
resources\domains\MetaSchedule.xml:21
resources\domains\Role.xml:13
resources\domains\Team.xml:10
resources\domains\Team.xml:20
resources\domains\Team.xml:50
resources\views\Meta.xml:105
resources\views\Meta.xml:402"
"Details","Détails",,"resources\views\DMS.xml:25"
"Directories","Répertoires",,"resources\views\DMS.xml:59"
"Directory","Répertoire",,"resources\views\DMS.xml:31
resources\views\DMS.xml:63"
"Disable the user from the specified date.","Bloque l'utilisateur à partir de la date spécifiée.",,"resources\domains\User.xml:29"
"Document","Document",,"resources\views\DMS.xml:17
resources\views\DMS.xml:176
resources\views\DMS.xml:191"
"Documents","Documents",,"resources\views\DMS.xml:206
resources\views\DMS.xml:7"
"Domain","Domaine",,"resources\domains\MetaJson.xml:53"
"Domain filter as condition.","Condition d'application des accès",,"resources\domains\Permission.xml:20"
"Download","Télécharger",,"resources\views\DMS.xml:20"
"Email","Email",,"resources\domains\Mail.xml:73
resources\domains\User.xml:20
resources\views\Mail.xml:8"
