"key","message","comment","context"
"Custom Fields",,,"resources\views\MetaJson.xml:198
resources\views\MetaJson.xml:218"
"Custom Models",,,"resources\views\MetaJson.xml:195
resources\views\MetaJson.xml:211"
"Custom field",,,"resources\views\MetaJson.xml:113
resources\views\MetaJson.xml:134
resources\views\MetaJson.xml:35"
"Custom fields",,,"resources\views\MetaJson.xml:28"
"Custom model",,,"resources\views\MetaJson.xml:152"
"Custom models",,,"resources\views\MetaJson.xml:147"
"Custom-ManyToMany",,,"resources\views\MetaJson.xml:24"
"Custom-ManyToOne",,,"resources\views\MetaJson.xml:23"
"Custom-OneToMany",,,"resources\views\MetaJson.xml:25"
"Cyan",,,"resources\views\Meta.xml:59"
"Dashboard",,,"resources\views\Meta.xml:11"
"Data",,,"resources\domains\Meta.xml:195"
"Date",,,"resources\views\MetaJson.xml:12"
"DateTime",,,"resources\views\MetaJson.xml:11"
"Decimal",,,"resources\views\MetaJson.xml:9"
"Deep Orange",,,"resources\views\Meta.xml:67"
"Deep Purple",,,"resources\views\Meta.xml:55"
"Default",,,"resources\views\DMS.xml:126
resources\views\Meta.xml:37"
"Default home action.",,,"resources\domains\Group.xml:16"
"Default value",,,"resources\domains\MetaJson.xml:13"
"Dependent features",,,"resources\domains\Meta.xml:44"
"Dependent modules",,,"resources\domains\Meta.xml:43"
"Depends",,,"resources\domains\Meta.xml:18"
"Depends On",,,"resources\views\Meta.xml:102"
"Description",,,"resources\domains\Meta.xml:15
resources\domains\Meta.xml:225
resources\domains\Meta.xml:268
resources\domains\MetaSchedule.xml:21
resources\domains\Role.xml:13
resources\domains\Team.xml:10
resources\domains\Team.xml:20
resources\domains\Team.xml:50
resources\views\Meta.xml:105
resources\views\Meta.xml:402"
"Details",,,"resources\views\DMS.xml:25"
"Directories",,,"resources\views\DMS.xml:59"
"Directory",,,"resources\views\DMS.xml:31
resources\views\DMS.xml:63"
"Disable the user from the specified date.",,,"resources\domains\User.xml:29"
"Document",,,"resources\views\DMS.xml:17
resources\views\DMS.xml:176
resources\views\DMS.xml:191"
"Documents",,,"resources\views\DMS.xml:206
resources\views\DMS.xml:7"
"Domain",,,"resources\domains\MetaJson.xml:53"
"Domain filter as condition.",,,"resources\domains\Permission.xml:20"
"Download",,,"resources\views\DMS.xml:20"
"Email",,,"resources\domains\Mail.xml:73
resources\domains\User.xml:20
resources\views\Mail.xml:8"
"Encryption error",,,"java\com\axelor\rpc\ResponseInterceptor.java:214"
"Encryption key might be wrong.",,,"java\com\axelor\rpc\ResponseInterceptor.java:212"
"English",,,"resources\views\User.xml:7"
"Enum",,,"resources\views\MetaJson.xml:15"
"Enum type",,,"resources\domains\MetaJson.xml:50"
"Expires on",,,"resources\domains\User.xml:29"
"Export",,,"resources\domains\MetaPermission.xml:21
resources\domains\Permission.xml:19
resources\views\Meta.xml:413"
"Export complete.",,,"java\com\axelor\meta\schema\actions\ActionExport.java:154
java\com\axelor\meta\schema\actions\ActionExport.java:157
java\com\axelor\meta\web\MetaController.java:329"
