"key","message","comment","context"
"Stop service",,,"resources\views\Schedules.xml:9"
"String",,,"resources\views\MetaJson.xml:7"
"Style",,,"resources\domains\DMS.xml:34
resources\domains\Meta.xml:243"
"Subject",,,"resources\domains\Mail.xml:32"
"Subscribe",,,"resources\views\Team.xml:41"
"Success",,,"resources\views\DMS.xml:127
resources\views\Meta.xml:39"
"Suffix",,,"resources\domains\MetaSequence.xml:14"
"Summary",,,"resources\domains\Mail.xml:34"
"System notification",,,"resources\views\Mail.xml:10"
"Table",,,"resources\domains\Meta.xml:208"
"Tag",,,"resources\views\DMS.xml:140
resources\views\DMS.xml:156
resources\views\Meta.xml:277"
"Tag count",,,"resources\domains\Meta.xml:99"
"Tag label",,,"resources\domains\Meta.xml:97"
"Tag method",,,"resources\domains\Meta.xml:98"
"Tag style",,,"resources\domains\Meta.xml:100"
"Tags",,,"resources\domains\DMS.xml:24
resources\views\DMS.xml:118
resources\views\DMS.xml:134
resources\views\DMS.xml:186
resources\views\DMS.xml:213
resources\views\DMS.xml:38"
"Target custom model",,,"resources\views\MetaJson.xml:60"
"Target json model",,,"resources\domains\MetaJson.xml:54"
"Target model",,,"resources\domains\MetaJson.xml:49"
"Task",,,"resources\views\Team.xml:84"
"Task closed",,,"resources\domains\Team.xml:42"
"Task created",,,"resources\domains\Team.xml:41"
"Task date",,,"resources\domains\Team.xml:24"
"Task deadline",,,"resources\domains\Team.xml:26"
"Task duration",,,"resources\domains\Team.xml:25"
"Tasks",,,"resources\views\Team.xml:202
resources\views\Team.xml:69
resources\views\Team.xml:80"
"Tasks assigned to me",,,"resources\views\Team.xml:181
resources\views\Team.xml:208"
"Tasks created by me",,,"resources\views\Team.xml:188
resources\views\Team.xml:209"
"Tasks due",,,"resources\views\Team.xml:151
resources\views\Team.xml:205"
"Tasks todo",,,"resources\views\Team.xml:162
resources\views\Team.xml:206"
"Teal",,,"resources\views\Meta.xml:60"
"Team",,,"resources\domains\Team.xml:18
resources\domains\Team.xml:52
resources\views\Team.xml:21
resources\views\Team.xml:51"
"Teams",,,"resources\views\Team.xml:203
resources\views\Team.xml:24
resources\views\Team.xml:28"
"Teamwork",,,"resources\views\Team.xml:201"
"Technical staff",,,"resources\domains\Group.xml:18"
"The addition data for UI widgets",,,"resources\domains\Meta.xml:195"
"The color to use for tags",,,"resources\domains\Meta.xml:194"
"The image icon to show in UI widgets",,,"resources\domains\Meta.xml:193"
"The module can't be uninstalled because other modules are pending. Please restart the server before.",,,"java\com\axelor\meta\web\ModuleController.java:49"
"The module can't be uninstalled because other non-removable modules depend on it.",,,"java\com\axelor\meta\web\ModuleController.java:46"
"The record(s) are referenced by other records, please remove all the references first.",,,"java\com\axelor\rpc\ResponseInterceptor.java:248"
"The record(s) can't be updated as it violates unique constraint.",,,"java\com\axelor\rpc\ResponseInterceptor.java:252"
"The scheduler service has been stopped.",,,"java\com\axelor\meta\web\JobController.java:77
java\com\axelor\quartz\JobRunner.java:175"
"The scheduler service is disabled.",,,"java\com\axelor\quartz\JobRunner.java:171
java\com\axelor\quartz\JobRunner.java:197"
"The select item title",,,"resources\domains\Meta.xml:191"
"The select item value",,,"resources\domains\Meta.xml:192"
"Theme",,,"resources\domains\User.xml:23"
"This may terminate any running jobs. Are you sure you want to continue?",,,"resources\views\Schedules.xml:8
resources\views\Schedules.xml:9"
"This will update job with current settings. Are you sure you want to continue?",,,"resources\views\Schedules.xml:29"
"Time",,,"resources\views\MetaJson.xml:13"
"Title",,,"resources\domains\Meta.xml:133
resources\domains\Meta.xml:14
resources\domains\Meta.xml:191
resources\domains\Meta.xml:31
resources\domains\Meta.xml:72
resources\domains\Meta.xml:93
resources\domains\MetaFilter.xml:15
resources\domains\MetaJson.xml:10
resources\domains\MetaJson.xml:66
resources\views\MetaJson.xml:163"
"Tooltip",,,"resources\views\Meta.xml:46"
"Top menu",,,"resources\domains\Meta.xml:101"
"Topic",,,"resources\views\Team.xml:116"
"Topic closed",,,"resources\domains\Team.xml:57"
"Topic created",,,"resources\domains\Team.xml:56"
"Topic re-opened",,,"resources\domains\Team.xml:58"
"Topics",,,"resources\domains\Team.xml:14
resources\views\Team.xml:111
resources\views\Team.xml:196"
"Translation",,,"resources\views\Meta.xml:420
resources\views\Meta.xml:421"
"Tree",,,"resources\views\Meta.xml:9"
"Type",,,"resources\domains\Mail.xml:21
resources\domains\Meta.xml:153
resources\domains\Meta.xml:221
resources\domains\Meta.xml:244
resources\domains\Meta.xml:32
resources\domains\Meta.xml:73
resources\domains\MetaJson.xml:12
resources\views\DMS.xml:28"
"Unexpected database error occurred on the server.",,,"java\com\axelor\rpc\ResponseInterceptor.java:256"
"Uninstall",,,"resources\views\Meta.xml:99"
"Unique constraint violation",,,"java\com\axelor\rpc\ResponseInterceptor.java:251"
"Unique message identifier",,,"resources\domains\Mail.xml:36"
"Unread",,,"resources\views\Mail.xml:54"
"Unsubscribe",,,"resources\views\Team.xml:42"
"Update",,,"resources\views\Schedules.xml:29"
"Updated by",,,"java\com\axelor\auth\db\AuditableModel.java:51"
"Updated on",,,"java\com\axelor\auth\db\AuditableModel.java:42"
"Urgent",,,"resources\domains\Team.xml:43
resources\views\Team.xml:17"
"Used as home action",,,"resources\domains\Meta.xml:154"
"User",,,"resources\domains\DMS.xml:41
resources\domains\Mail.xml:55
resources\domains\Mail.xml:70
resources\domains\Meta.xml:110
resources\domains\Meta.xml:76
resources\domains\MetaFilter.xml:21
resources\views\User.xml:19"
"User Management",,,"resources\views\Menu.xml:7"
"User preferences",,,"resources\views\User.xml:63"
"Users",,,"resources\views\Menu.xml:15
resources\views\Menu.xml:17
resources\views\User.xml:11"
"Valid cron. Next execution dates are:",,,"java\com\axelor\meta\web\JobController.java:46"
"Validate",,,"resources\views\Schedules.xml:28"
"Validation error",,,"java\com\axelor\rpc\ResponseInterceptor.java:197"
"Value",,,"resources\domains\DMS.xml:38
resources\domains\Meta.xml:192
resources\domains\Meta.xml:254
resources\domains\MetaSchedule.xml:11
resources\views\MetaJson.xml:84"
"Value Expression",,,"resources\domains\MetaJson.xml:47
resources\views\MetaJson.xml:94"
"Version",,,"resources\domains\Meta.xml:16"
"View",,,"resources\domains\Meta.xml:241
resources\domains\Meta.xml:251
resources\views\Meta.xml:146"
"View Attribute",,,"resources\views\Meta.xml:488"
"View Attributes",,,"resources\views\Menu.xml:150
resources\views\Menu.xml:152
resources\views\Meta.xml:478"
"View Help",,,"resources\views\Menu.xml:131
resources\views\Menu.xml:136
resources\views\Meta.xml:436"
"View Management",,,"resources\views\Menu.xml:9"
"View customization",,,"resources\domains\Group.xml:19"
"View customization permission",,,"resources\domains\Group.xml:29"
"Views",,,"resources\domains\Group.xml:26
resources\views\Menu.xml:71
resources\views\Meta.xml:110"
"Visibility",,,"resources\views\Meta.xml:267"
"Visible",,,"resources\views\Group.xml:7"
"Visible in grid",,,"resources\domains\MetaJson.xml:37"
"Warning",,,"resources\views\DMS.xml:128
resources\views\Meta.xml:40"
"Whether to grant create access.",,,"resources\domains\Permission.xml:17"
"Whether to grant export access.",,,"resources\domains\Permission.xml:19"
"Whether to grant read access.",,,"resources\domains\Permission.xml:15"
"Whether to grant remove access.",,,"resources\domains\Permission.xml:18"
"Whether to grant write access.",,,"resources\domains\Permission.xml:16"
"Whether to show help messages.",,,"resources\domains\User.xml:25"
"Whether to use tabbed ui.",,,"resources\domains\User.xml:24"
"White",,,"resources\views\Meta.xml:72"
"Widget",,,"resources\domains\MetaJson.xml:19"
"Widget Attributes",,,"resources\views\MetaJson.xml:109"
"Widget attrs",,,"resources\domains\MetaJson.xml:59"
"Write",,,"resources\domains\MetaPermission.xml:20
resources\domains\Permission.xml:16"
"Wrong current password",,,"java\com\axelor\auth\AuthRealm.java:46
java\com\axelor\auth\pac4j\AuthPac4jModuleLocal.java:55"
"Wrong username or password",,,"java\com\axelor\auth\AuthRealm.java:45
java\com\axelor\auth\pac4j\AuthPac4jModuleLocal.java:54"
"Xml",,,"resources\domains\Meta.xml:131
resources\domains\Meta.xml:151
resources\domains\Meta.xml:157
resources\domains\Meta.xml:175
resources\domains\Meta.xml:36
resources\domains\Meta.xml:38
resources\domains\Meta.xml:75
resources\domains\Meta.xml:91"
"Yellow",,,"resources\views\Meta.xml:64"
"You are not allowed to customize views.",,,"java\com\axelor\meta\service\MetaService.java:546
java\com\axelor\meta\service\MetaService.java:607"
"You are not allowed to execute this action.",,,"java\com\axelor\meta\schema\actions\ActionReport.java:111"
"You are not allowed to remove this filter",,,"java\com\axelor\meta\service\MetaFilterService.java:71"
"You are not allowed to share custom views.",,,"java\com\axelor\meta\service\MetaService.java:554"
"You are not authorized to create this resource.",,,"java\com\axelor\db\JpaSecurity.java:29"
"You are not authorized to export the data.",,,"java\com\axelor\db\JpaSecurity.java:31"
"You are not authorized to read this resource.",,,"java\com\axelor\db\JpaSecurity.java:27"
"You are not authorized to remove this resource.",,,"java\com\axelor\db\JpaSecurity.java:30"
"You are not authorized to update this resource.",,,"java\com\axelor\db\JpaSecurity.java:28"
"You can't create document here.",,,"java\com\axelor\dms\db\repo\DMSFileRepository.java:433"
"You can't move document here.",,,"java\com\axelor\dms\db\repo\DMSFileRepository.java:436"
"Your current password",,,"resources\views\User.xml:41"
"action-attrs",,,"resources\views\Meta.xml:22"
"action-condition",,,"resources\views\Meta.xml:27"
"action-export",,,"resources\views\Meta.xml:31"
"action-group",,,"resources\views\Meta.xml:25"
"action-import",,,"resources\views\Meta.xml:30"
"action-method",,,"resources\views\Meta.xml:29"
"action-record",,,"resources\views\Meta.xml:28"
"action-report",,,"resources\views\Meta.xml:32"
"action-script",,,"resources\views\Meta.xml:24"
"action-validate",,,"resources\views\Meta.xml:26"
"action-view",,,"resources\views\Meta.xml:23"
"action-ws",,,"resources\views\Meta.xml:33"
"added comment",,,"java\com\axelor\mail\db\repo\MailMessageRepository.java:337"
"confirm new password",,,"resources\views\User.xml:45
resources\views\User.xml:75"
"confirm password",,,"resources\views\User.xml:50"
"current password",,,"resources\views\User.xml:72"
"form::Select","Select",,"resources\views\Meta.xml:319"
"important",,,"resources\domains\Team.xml:43"
"login name",,,"resources\views\User.xml:22"
"new password",,,"resources\views\User.xml:44
resources\views\User.xml:74"
"password",,,"resources\views\User.xml:49"
"success",,,"resources\domains\Team.xml:42"
"updated document",,,"java\com\axelor\mail\db\repo\MailMessageRepository.java:334"
"user group",,,"resources\views\User.xml:23"
"user name",,,"resources\views\User.xml:21"
"user.password.pattern.title","Please use at least 4 characters.",,"java\com\axelor\app\AvailableAppSettings.java:113
resources\views\User.xml:52
resources\views\User.xml:76"
"your current password",,,"resources\views\User.xml:41"
"{0} customized view is deleted.",,,"java\com\axelor\meta\web\MetaController.java:211"
"{0} customized views are deleted.",,,"java\com\axelor\meta\web\MetaController.java:211"
